"knihy_id","isbn","nazev","pocet_stran","rok_vydani","misto_vydani","nakladatel","vydani","druhy_id","jazyky_id","autor","edice"
"366","ISBN 80-247-0685-7","Encyklopedie platebních karet : historie, současnost a budoucnost peněz a platebních karet","312","2003","Praha","Grada Publishing","1","1","1","Juřík, Pavel",""
"367","ISBN 80-251-0319-6","Apache Server 2 : kompletní příručka administrátora","724","2004","Brno","Computer Press","1","1","1","Kabir, Mohammed J.","Administrace"
"368","ISBN 80-7226-295-5","Jazyk C","12","2000","Praha","Computer Press","1","1","1","Kačmář, Dalibor",""
"369","ISBN 80-7226-832-5","CorelDraw 11 : uživatelská příručka","215","2003","Brno","Computer Press","1","1","1","Kadavý, Dušan",""
"372","ISBN 80-7226-245-9","Učíme se programovat v Delphi a jazyce Object Pascal","288","2001","Praha","Computer Press","1","1","1","Kadlec, Václav",""
"373","ISBN 80-251-0074-X","Microsoft Project : kompletní průvodce pro verze 2003 a 2002","597","2003","Brno","Computer Press","1","1","1","Kališ, Jan -- Hyndrák, Karel","Microsoft Office System"
"374","ISBN 80-7169-407-X","Počítačové sítě a jejich aplikace","311","1999","Praha","Grada Publishing","1","1","1","Kállay, Fedor -- Peniak, Peter",""
"375","ISBN 80-251-1083-4","UML srozumitelně","176","2006","Brno","Computer Press","2","1","1","Kanisová, Hana -- Müller, Miroslav",""
"376","ISBN 80-251-0231-9","UML srozumitelně","158","2004","Brno","Computer Press","1","1","1","Kanisová, Hana -- Müller, Miroslav",""
"377","ISBN 80-85896-61-3","DOOM II, Heretic, Hexen","11","1996","Praha","Computer Press","1","1","1","Kaňurek, Vít",""
"378","ISBN 80-251-1301-9","Výpočty a simulace v programech Matlab a Simulink","220","2006","Brno","Computer Press","1","1","1","Karban, Pavel",""
"379","ISBN 0-415-36976-2","Telegeoinformatics : location-based computing and services","377","2004","Boca Raton","CRC Press","","1","2","Karimi, Hassan A",""
"380","ISBN 80-86056-31-7","ZEN a umění Internetu","168","1997","Praha","","1","1","1","Kehoe, Brendan p.",""
"383","ISBN 978-80-86429-78-6","Vzdělanostní společnost? : chrám, výtah a pojišťovna","183","2008","Praha","Sociologické nakladatelství","1","1","1","Keller, Jan -- Tvrdý, Lubor",""
"384","","Datové struktury bez předchozích znalostí","223","2006","Brno","Computer Press","1","1","1","Keogh, James Edward -- Davidson, Ken",""
"386","ISBN 80-251-0973-9","OOP bez předchozích znalostí : průvodce pro samouky","222","2006","Brno","Computer Press","1","1","1","Keogh, James Edward -- Giannini, Mario",""
"391","ISBN 0-471-07834-4","Object Orientation : Concepts, Analysis and Design, Languages","22","1995","New York","John Wiley & Sons","2","1","2","Khoshafian, Setrag -- Abnous, Razmik",""
"392","ISBN 80-7226-181-6","Vylaďování webového výkonu","23","1999","Praha","Computer Press","1","1","1","Killelea, Patrick",""
"394","ISBN 0-76458-424-3","Hacking GPS","337","2005","Indianapolis","Wiley Publishing","","1","2","Kingsley-Hughes, Kathie",""
"396","ISBN 0-13-345984-5","Fuzzy Sets, Uncertainty, and Information","355","1988","London","Prentice-Hall","","1","2","Klir, George J. -- Folger, Tina A.",""
"397","ISBN 0-256-05682-X","Management Science: Building and Using Models","19","1989","Homewood","Irwin","","1","2","Knowles, Thomas W.",""
"399","ISBN 0-201-89684-2","Art of computer of programming","762","1997","Boston","Addison-Wesley","","1","2","Knuth, Donald Ervin",""
"401","ISBN 0-201-13437-3","Computers & Typesetting: TEX - The Program","16","1986","Reading","Addison-Wesley","","1","2","Knuth, Donald Ervin",""
"402","ISBN 1-57586-010-4","Digital Typography","15","1998","Stanford","CSLI","","1","2","Knuth, Donald Ervin",""
"405","ISBN 978-80-251-2025-5","Umění programování : Základní algoritmy. . 1. díl.","648","2008","Brno","Computer Press","1","1","1","Knuth, Donald Ervin",""
"407","ISBN 978-3-8365-0797-4","Photo icons","191","2008","Köln","Taschen","","1","2","Koetzle, Michael","Icons"
"409","ISBN 3-540-67921-9","Self-organizing maps","501","2001","New York","Springer Verlag","3","1","2","Kohonen, Teuvo","Springer series in information sciences"
"411","ISBN 80-7226-973-9","LATEX : podrobný průvodce","576","2004","Brno","Computer Press","1","1","1","Kopka, Helmut -- Daly, Patrick W.","DTP & grafika"
"412","ISBN 1-59327-036-4","The Linux enterprise cluster : build a highly available cluster with commodity hardware and free software","430","2005","San Francisco","No Starch Press","","1","2","Kopper, Karl",""
"414","ISBN 80-7169-608-0","HTML - tvorba dokonalých WWW stránek : podrobný průvodce","291","1998","Praha","Grada Publishing","1","1","1","Kosek, Jiří","Průvodce"
"416","ISBN 80-7169-860-1","XML pro každého : podrobný průvodce","163","2000","Praha","Grada Publishing","1","1","1","Kosek, Jiří",""
"418","ISBN 80-200-1202-8","Metrické prostory","98","2004","Praha","Academia","1","1","1","Kosmák, Ladislav -- Potůček, Radovan",""
"419","ISBN 0-471-23443-5","Systems engineering : principles and practices","463","2003","New York","J. Wiley","","1","2","Kossiakoff, Alexander -- Sweet, William N","Wiley series in systems engineering and management"
"420","ISBN 80-7226-657-8","Firemní strategie : plánování a realizace","124","2002","Praha","Computer Press","1","1","1","Košťan, Pavol -- Šuleř, Oldřich","Praxe managera"
"421","ISBN 80-247-0921-X","Inovativní marketing : jak kreativním myšlením vítězit u zákazníků","199","2005","Praha","Grada Publishing","1","1","1","Kotler, Philip -- Bes, Fernando Trias de",""
"422","ISBN 80-85424-32-0","Cesty moderního programování","321","1991","Praha","Grada Publishing","","1","1","Koubský, Petr",""
"423","ISBN 80-86419-76-2","Segmentujeme spotřební trhy","145","2005","Praha","Professional Publishing","1","1","1","Koudelka, Jan",""
"424","ISBN 80-86815-00-5","Praktický JavaScript","325","2004","Brno","ZONER Press","1","1","1","Kout, Pavel","Encyklopedie webdesignera"
"425","ISBN 0-387-94907-0","Automata and computability","400","1999","New York, NY [u.a.]","Springer","3","1","2","Kozen, Dexter C.","Undergraduate texts in computer science"
"426","ISBN 80-86083-00-4","Informační systémy : Specifikace, realizace, provoz","358","1998","Brno","SCIENCE","1","1","1","Král, Jaroslav",""
"428","ISBN 80-7226-101-0","Základy komponentní technologie COM","9","1998","Praha","Computer Press","1","1","1","Kraval, Ilja -- Ivachiv, Pavel",""
"429","ISBN 80-7226-047-2","Základy objektově orientovaného programování","251","1998","Computer Press","Praha","1","1","1","Kraval, Ilja",""
"431","ISBN 1-56592-516-5","Oracle Database Administration : The Essential Reference","17","1999","Beijing","O\'Reilly","1","1","2","Kreines, David C. -- Laskey, Brian",""
"432","ISBN 1-56592-697-8","Oracle SQL : The Essential Reference","33","2000","Beijing","O\'Reilly","1","1","2","Kreines, David C.",""
"433","ISBN 0-395-38106-1","Management","21","1989","Boston","Houghton Mifflin Comp.","4","1","2","Kreitner, Robert",""
"435","ISBN 80-251-0345-5","Administrace a diagnostika sítí pomocí OpenSource utilit a nástrojů","216","2004","Brno","Computer Press","1","1","1","Kretchmar, James M. -- Dostálek, Libor",""
"436","ISBN 80-7226-132-0","Mistrovství ve Visual C++","30","1999","Praha","Computer Press","1","1","1","Kruglinski, David J.",""
"438","ISBN 80-7079-342-2","Úvod do umělých neuronových sítí","49","1996","Praha","VŠE","1","1","1","Křivan, Miloš",""
"440","ISBN 80-86593-06-1","Zvuk na PC : step by step","262","2002","Praha","Mobil Media","1","1","1","Kříž, Miloslav",""
"442","ISBN 80-251-0323-4","Inteligentní agenty : [tvorba aplikačního software na bázi multiagentových systémů]","280","2004","Brno","Computer Press","1","1","1","Kubík, Aleš",""
"445","ISBN 80-86005-54-2","Struktura vědeckých revolucí","206","1997","Praha","Oikoymenh","1","1","1","Kuhn, Thomas S.","Oikúmené"
"448","ISBN 80-85828-51-0","Programování ve Visual Basicu 3.0","234","1995","České Budějovice","Kopp","1","1","1","Kvoch, Martin",""
"455","ISBN 80-251-1110-5","Business Intelligence v SQL Serveru 2005 : reportovací, analytické a další datové služby","391","2006","Brno","Computer Press","1","1","1","Lacko, Ľuboslav",""
"464","ISBN 978-80-251-1542-8","Microsoft Office Outlook 2007 : podrobná uživatelská příručka","342","2007","Brno","Computer Press","1","1","1","Lapáček, Jiří",""
"465","ISBN 80-251-0360-9","OpenOffice. org : podrobná uživatelská příručka","320","2004","Brno","Computer Press","1","1","1","Lapáček, Jiří",""
"466","ISBN 0-13-173516-0","E-commerce : business, technology, society","879","2007","Upper Saddle River","Pearson/Prentice Hall","3","1","2","Laudon, Kenneth C -- Traver, Carol Guercio",""
"469","ISBN 0-201-62431-1","Models and Languages of Object-Oriented Databases","10","1997","Harlow","Addison-Wesley","","1","2","Lausen, Georg -- Vossen, Gottfried",""
"474","","qmail : správa unixovaných poštovních systémů","234","2007","Praha","Grada","1","1","1","Levine, John",""
"475","ISBN 80-7226-172-X","Procesory - architektura, funkce, použití","13","1999","Brno","Computer Press","1","1","1","Ličev, Lačezar -- Morkes, David","Hardware"
"479","ISBN 80-7335-000-9","Finština nejen pro samouky","344","2002","Praha","LEDA","1","1","10","Lindroos, Hilkka A.",""
"480","ISBN 80-7335-000-9","Finština nejen pro samouky: Klíč - slovník","111","2002","Praha","LEDA","1","1","10","Lindroos, Hilkka A.",""
"481","ISBN 80-7232-208-7","Odborný text ve Wordu","132","2003","České Budějovice","Kopp","1","1","1","Linkeová, Ivana",""
"482","ISBN 80-85623-67-6","Informix","431","1992","Praha","Grada,a.s.","","1","1","Lipš, Martin -- Parmová, Yvona","Nestůjte za dveřmi"
"483","ISBN 80-7226-361-7","DELPHI v kostce : Pohotová referenční příručka","15","2000","Praha","Computer Press","1","1","1","Lischner, Ray",""
"484","ISBN 978-0-4153-1681-1","Local models for spatial analysis","244","2007","Boca Raton","CRC/Taylor & Francis","","1","2","Lloyd, Christopher D",""
"486","ISBN 80-7226-635-7","Mistrovství v Oracle : kompletní průvodce tvorbou, správou a údržbou databází","860","2002","Praha","Computer Press","1","1","1","Loney, Kevin -- Theriault, Marlene",""
"487","ISBN 0-13-899725-X","Object Databases in Practice","18","1998","Upper Saddle River","Prentice Hall","","1","2","Loomis, Mary E.S. -- Chaudhri, Akmal B.",""
"488","ISBN 0-13-179292-X","Object-Oriented Software Metrics : A Practical Guide","13","1994","Englewood","Prentice Hall","","1","2","Lorenz, Mark -- Kidd, Jeff",""
"489","ISBN 80-86419-94-0","B-to-B marketing : strategická marketingová analýza pro vytváření tržních příležitostí","186","2005","Praha","Professional Publishing","1","1","1","Lošťáková, Hana",""
"491","ISBN 0-937175-60-9","System Performance Tuning : Help for UNIX System Administrators","19","1992","Sebastopol","O\'Reilly&Associates,Inc.","1","1","2","Loukides, Mike",""
"493","ISBN 80-86056-63-5","Příručka přežití administrátora INFORMIXU","238","1997","Praha","","1","1","1","Lumbley, Joe",""
"495","ISBN 80-247-0367-X","Naučte se Python","339","2003","Praha","Grada","1","1","1","Lutz, Mark -- Ascher, David",""
"497","ISBN 1591407303","Web-based intelligent e-learning systems : technologies and applications","388","2006","Hershey, PA","Information Science Pub.","","1","2","Ma, Zongmin",""
"500","ISBN 1-56592-627-7","Learning Red Hat Linux","13","1999","Beijing","O\'Reilly","1","1","2","Mac Carty, Bill",""
"501","ISBN 80-7226-509-1","Učíme se RedHat Linux","14","2000","Praha","Computer Press","1","1","1","Mac Carty, Bill",""
"502","ISBN 1-932828-04-4","Process mapping, process improvement, and process management : a practical guide for enhancing work and information flow a practical guide for enhancing work and information flow","313","2005","Chico, California","Paton Press","","1","2","Madison, Dan",""
"503","ISBN 80-251-0398-6","Microsoft Office PowerPoint 2003 : podrobná uživatelská příručka","391","2006","Brno","Computer Press","1","1","1","Magera, Ivo",""
"505","ISBN 80-7228-010-3","Microsoft PowerPoint 97 : Základní průvodce uživatele","11","1997","Praha","Computer Press","1","1","1","Magera, Ivo",""
"507","ISBN 80-901507-1-3","Základy programování v jazyku INFORMIX-4GL","236","1994","Praha","","1","1","1","Mahler, Paul",""
"508","ISBN 978-80-7179-463-9","Prostorově orientované systémy pro podporu manažerského rozhodování","141","2007","Praha","C.H. Beck","1","1","1","Machalová, Jitka","C.H. Beck pro praxi"
"509","ISBN 0-387-24435-2","Data mining and knowledge discovery handbook","1383","2005","New York","Springer","","1","2","Maimon, Oded Z",""
"510","ISBN 80-86929-19-1","Poisťovníctvo : teória a prax = Pojišťovnictví : teorie a praxe","288","2006","Praha","Ekopress","1","1","9","Majtánová, Anna a kol.",""
"514","ISBN 0-596-00372-2","XSLT cookbook","654","2003","Sebastopol, California","O\'Reilly","","1","2","Mangano, Sal",""
"518","ISBN 978-80-85763-37-9","Algoritmizace a programování v Delphi","230","2007","Brno","Littera","1","1","1","Martišek, Dalibor",""
"519","ISBN 80-85763-19-2","Matematické principy grafických systémů","278","2002","Brno","Littera","1","1","1","Martišek, Dalibor",""
"521","ISBN 80-7226-448-6","Naučte se MySQL za 21 dní","478","2001","Praha","Computer Press","1","1","1","Maslakowski, Mark","Databáze"
"523","ISBN 80-86497-53-4","Web Hacking. Útoky a obrana","448","2003","Praha","SoftPress","1","1","1","McClure, Stuart -- Shah, Saumil",""
"524","ISBN 80-251-0849-X","Dokonalý kód : umění programování a techniky tvorby software","894","2005","Brno","Computer Press","1","1","1","McConnell, Steve",""
"525","ISBN 80-251-1240-3","Odhadování softwarových projektů : jak správně určit rozpočet, termín a zdroje","317","2006","Brno","Computer Press","1","1","1","McConnell, Steve",""
"527","ISBN 0-521-32153-0","Geometry and interpolation of curves and surfaces","414","1998","Cambridge","Cambridge University Press","","1","2","McLeod, Robin J. Y -- Baart, Maria Louisa",""
"528","ISBN 1-58713-165-X","Networking basics ccna 1 labs and study guide (cisco networking academy program)","358","2006","Indianapolis, IN","Cisco Press","","1","2","McReynolds, Shawn",""
"532","ISBN 80-251-0181-9","Microsoft Office Outlook 2003 : podrobná uživatelská příručka","378","2004","Brno","Computer Press","1","1","1","Městecký, Petr",""
"536","ISBN 0-73571-245-X","Eric Meyer on CSS : mastering the language of Web design","322","2003","Indianapolis","New Riders","","1","2","Meyer, Eric A.",""
"538","ISBN 80-86394-53-0","Internetový obchod pomocí PHP a MySQL","163","2001","Praha","Newsletter","1","1","1","Mihule, Tomáš",""
"540","ISBN 80-86097-09-9","D H T M L : dynamické HTML referenční příručka","167","1997","Brno","UNIS","1","1","1","Mikle, Pavel",""
"545","ISBN 978-0-596-52690-0","Digital photography : expert techniques","387","2007","Sebastopol, Calif.","O\'Reilly","","1","2","Milburn, Ken"," O\'Reilly digital studio"
"547","ISBN 80-251-1126-1","Programujeme 3D hry v jazyce C# : [tři kompletní hry od úplných základů]","335","2006","Brno","Computer Press","1","1","1","Miller, Tom",""
"551","ISBN 80-247-0326-2","Windows XP Professional","800","2002","Praha","Grada","1","1","1","Minasi, Mark","Profesional"
"559","ISBN 0-201-70331-9","PostgreSQL : introduction and concepts","461","2001","Boston, MA","Addison-Wesley","","1","2","Momjian, Bruce",""
"561","ISBN 80-7226-238-6","Proč mapy lžou","13","2000","Praha","Computer Press","1","1","1","Monmonier, Mark",""
"562","ISBN 0-596-00396-X","ActionScript for Flash MX : the definitive guide","1051","2002","Beijing","O\'Reilly","2","1","2","Moock, Colin",""
"564","ISBN 80-85896-66-4","Microsoft Access 7.0 : Základní průvodce uživatele","9","1996","Praha","Computer Press","1","1","1","Morkes, David",""
"567","ISBN 80-85896-79-6","Tvorba aplikací v Microsoft Access 7.0","10","1997","Praha","Computer Press","1","1","1","Morkes, David",""
"570","ISBN 80-251-0806-6","Zásady skupiny, profily a IntelliMirror pro Windows 2003, 2000 a XP","524","2005","Brno","Computer Press","1","1","1","Moskowitz, Jeremy",""
"575","ISBN 1-56592-691-9","Building Oracle XML Applications","16","2000","Beijing","O\'Reilly","1","1","2","Muench, Steve",""
"578","ISBN 1-861000-87-1","Instant UML","19","1997","Birmingham","Wrox Press","","1","2","Muller, Pierre-alain",""
"579","ISBN 80-85896-18-4","Encyklopedie grafických formátů: Součástí knihy je CD-ROM","28","1995","Praha","Computer Press","1","1","1","Murray, James D. -- Ryper, William van",""
"580","ISBN 80-7226-407-9","HTML a XHTML : kompletní průvodce","623","2000","Praha","Computer Press","","1","1","Musciano, Chuck -- Kennedy, Bill",""
"582","ISBN 80-85825-14-7","Průvodce k CD-ROM","280","1996","Brno","CBB","1","1","1","Nadeau, Michael",""
"583","ISBN 80-7226-146-0","Internet : Standardy a protokoly","20","1999","Praha","Computer Press","1","1","1","Naik, Dilip C.",""
"584","ISBN 1-57231-692-6","Internet Standards and Protocols : A Quick Reference to Internet Technologies","18","1998","Redmond","Microsoft Press","","1","2","Naik, Dilip C.",""
"585","ISBN 80-251-1073-7","Vytváříme webové aplikace v PHP5, MySQL a Apache","813","2006","Brno","Computer Press","1","1","1","Naramore, Elizabeth a kol.",""
"586","","OpenOffice.org Calc","128","2007","Kralice na Hané","Computer Media","1","1","1","Navrátil, Pavel -- Jiříček, Michal",""
"588","ISBN 80-7226-919-4","Linux : kompletní příručka administrátora","828","2004","Brno","Computer Press","1","1","1","Nemeth, Evi -- Snyder, Garth","Administrace"
"591","ISBN 0-596-00196-7","Web design in a nutshell : a desktop quick reference","618","2001","Beijing","O\'Reilly","2","1","2","Niederst, Jennifer",""
"592","ISBN 80-86815-18-8","Použitelnost domovských stránek","323","2005","Brno","Zoner Press","1","1","1","Nielsen, Jakob -- Tahir, Marie","Encyklopedie webdesignera"
"593","ISBN 80-86497-27-5","Web. Design","382","2002","Praha","SoftPress","1","1","1","Nielsen, Jakob",""
"594","ISBN 3-446-17276-9","Informatik I : Einführung in Algorithmen und Berechenbarkeit","153","1993","München","Carl Hansen Verlag","2","1","2","Noltenmeier, Hartmut",""
"599","ISBN 80-85424-95-9","Neuronové sítě a informační systémy živých organismů","265","1993","Praha","Grada","1","1","1","Novák, Mirko -- Faber, Josef",""
"600","ISBN 80-7300-009-1","Základy fuzzy modelování","175","2000","Praha","BEN","1","1","1","Novák, Vilém",""
"602","ISBN 0-07-913755-5","Lotus Domino Web Site Development","21","1998","New York","McGraw-Hill","","1","2","Oliver, Steve -- Wood, Pete",""
"604","ISBN 80-7302-007-6","TEXbook naruby","466","2001","Brno","Konvoj","2","1","1","Olšák, Petr",""
"608","ISBN 80-85896-49-4","Microsoft Excel pro vědce a inženýry","25","1996","Praha","Computer Press","1","1","1","Orvis, William J.",""
"609","ISBN 1-56592-398-7","Mastering Algorithms with Perl","16","1999","Beijing","O\'Reilly","1","1","2","Orwant, Jon -- Hietaniemi, Jarkko",""
"611","ISBN 80-247-0210-X","Základy objektově orientovaného návrhu v UML","367","2001","Praha","Grada","1","1","1","Page-jones, Meilir","Moderní programování"
"614","ISBN 1-58720-122-4","Routing first-step","414","2005","Indianapolis, IN","Cisco Press","","1","2","Parkhurst, William R","First-step series"
"615","ISBN 80-7226-636-5","Testování softwaru","313","2002","Praha","Computer Press","1","1","1","Patton, Ron","Programování pro každého uživatele"
"617","ISBN 0-596-00355-2","XSL-FO","263","2002","Sebastopol, California","O\'Reilly","","1","2","Pawson, Dave",""
"619","ISBN 80-856-05-42-2","Macmillanův slovník moderní ekonomie","549","1994","Praha","Victoria Publishing","","1","1","Pearce, David W.",""
"620","ISBN 80-247-0030-1","Excel v příkladech: řešené úlohy: podrobný průvodce","198","2001","Praha","Grada","1","1","1","Pecinovský, Josef",""
"622","ISBN 978-80-251-1582-4","Návrhové vzory : [33 vzorových postupů pro objektové programování]","527","2007","Brno","Computer Press","1","1","1","Pecinovský, Rudolf",""
"623","ISBN 80-7169-366-9","Objektové programování 1 : Učebnice s příklady v Turbo Pascalu a Borland C++","228","1996","Praha","Grada Publishing","1","1","1","Pecinovský, Rudolf -- Virius, Miroslav",""
"624","ISBN 80-7169-366-9","Objektové programování 2 : Učebnice s příklady v Turbo Pascalu a Borland C++","261","1996","Praha","Grada Publishing","1","1","1","Pecinovský, Rudolf -- Virius, Miroslav",""
"625","ISBN 978-0-387-20229-7","Chaos and fractals : new frontiers of science","864","2004","New York"," Springer","","1","2","Peitgen, Heinz-Otto -- Jürgens, Hartmut",""
"626","ISBN 978-80-251-2035-4","Adobe Indesign CS3 : oficiální výukový kurz","391","2008","Brno","Computer Press","1","1","1","Pekárek, Radim",""
"627","ISBN 0-8493-0880-1","Information security risk analysis","281","2001","Boca Raton","Auerbach","","1","2","Peltier, Thomas R.",""
"628","ISBN 0-387-95132-6","Guide to enterprise IT architecture","447","2001","New York","Springer Verlag","","1","2","Perks, Col -- Beveridge, Tony","Springer Professional Computing"
"630","ISBN 80-85828-28-6","Jemný úvod do systému UNIX","189","1995","České Budějovice","Kopp","1","1","1","Petrlík, Lukáš",""
"632","ISBN 80-7226-206-8","Programování ve Windows : WIN32 API","23","1999","Brno","Computer Press","1","1","1","Petzold, Charles",""
"633","ISBN 80-85896-47-8","Microsoft Windows 95 Internet Kit","11","1996","Praha","Computer Press","1","1","1","Pfaffenberger, Bryan",""
"634","ISBN 0-13-337486-6","Security in Computing","18","1997","Upper Saddle River","Prentice Hall","2","1","2","Pfleeger, Charles P.",""
"635","ISBN 80-247-0368-8","Online public relations","215","2003","Praha","Grada Publishing","","1","1","Phillips, David","Manažer"
"637","ISBN 80-7169-799-0","Počítačové zkratky : Kompletní kapesní průvodce","233","1999","Praha","Grada Publishing","1","1","1","Pilař, Alexander",""
"638","ISBN 0-596-00795-7","UML 2. 0 in a nutshell : [a desktop quick reference ]","216","2005","Sebastopol","O\'Reilly","1","1","2","Pilone, Dan",""
"639","ISBN 80-7226-746-9","Komponenty v Delphi","438","2002","Praha","Computer Press","1","1","1","Pirkl, Josef",""
"641","ISBN 80-7232-145-5","Síťové programování pod Windows a programování Internetu","357","2001","České Budějovice","Kopp","1","1","1","Pirkl, Josef",""
"643","ISBN 80-85649-28-4","Access 2.0 : Průvodce systémem","316","1995","Praha","GComp","","1","1","Plecháč, Vladimír",""
"647","ISBN 80-86083-02-0","Databázová abeceda","238","1998","Veletiny","SCIENCE","1","1","1","Pokorný, Jaroslav",""
"649","ISBN 80-7184-764-X","Dokumentografické informační systémy","158","1998","Praha","Karolinum","1","1","1","Pokorný, Jaroslav -- Snášel, Václav",""
"650","ISBN 80-901475-2-6","Dotazovací jazyky","227","1994","","SCIENCE","1","1","1","Pokorný, Jaroslav",""
"651","ISBN 80-85297-61-2","FoxPor 2.5 pro DOS i Windows : Průvodce uživatele","10","1994","Praha","PLUS","","1","1","Pokorný, Jan","PLUS"
"653","ISBN 80-85649-15-2","FoxPro 2.5 : Učebnice programování DOS","285","1995","Praha","GComp","1","1","1","Pokrupa, Petr","GComp"
"654","ISBN 80-85424-36-3","Prolog","335","1992","Praha","Grada","","1","1","Polák, Jiří","Nestůjte za dveřmi"
"655","ISBN 80-247-0424-2","Umění systémového návrhu: objektově orientovaná tvorba informačních systémů pomocí původní metody BORM","193","2003","Praha","Grada","1","1","1","Polák, Jiří -- Merunka, Vojtěch","Management v informační společnosti"
"657","ISBN 80-7226-686-1","1001 tipů a triků pro Microsoft Windows XP","299","2002","Praha","Computer Press","1","1","1","Politzer, Michal -- Pecha, Jakub",""
"658","ISBN 80-86686-75-2","OpenOffice.org Writer","136","2007","Kralice na Hané","Computer Media","1","1","1","Pomichálek, Jan -- Jiříček, Michal",""
"659","ISBN 0-13-027019-9","UNIX : User\'s Handbook","39","2000","Upper Saddle River","Prentice Hall","","1","2","Poniatowski, Marty",""
"660","ISBN 80-85605-11-2","Konkurenční strategie : Metody pro analýzu odvětví a konkurentů","403","1994","Praha","Victoria Publishing","","1","1","Porter, Michael E.",""
"661","ISBN 80-7226-949-6","Web Design : kompletní průvodce","818","2004","Brno","Computer Press","1","1","1","Powell, Thomas A.","Web design"
"664","ISBN 978-80-251-1749-1","Mistrovství v C++","1119","2007","Brno","Computer Press","3","1","1","Prata, Stephen",""
"666","ISBN 80-7226-682-9","Počítačový útok : detekce, obrana a okamžitá náprava","410","2002","Praha","Computer Press","1","1","1","Prosise, Chris -- Mandia, Kevin","Profi - komunikace&sítě"
"667","ISBN 80-7226-328-5","Elektronické bankovnictví","12","2000","Praha","Computer Press","1","1","1","Přádka, Michal -- Kala, Jan",""
"669","ISBN 80-85896-21-4","Novell Netware 3.x a 4.x : Kompletní průvodce","494","1995","Praha","Computer Press","1","1","1","Přichystal, Oldřich",""
"670","ISBN 80-200-0203-0","Komunikace s počítačem mluvenou řečí","287","1995","Praha","Academia","1","1","1","Psutka, Josef",""
"671","","Algoritmizace","128","2007","Kralice na Hané","Computer Media","1","1","1","Pšenčíková, Jana",""
"672","ISBN 3-540-56255-9","Systematic Introduction to Expert Systems : Knowledge Representations and Problem-Solving Methods","6","1993","Berlin","Springer-Verlag","","1","2","Puppe, Frank",""
"673","ISBN 80-7226-098-7","Moderní komunikační sítě od A do Z","446","1998","Praha","Computer Press","1","1","1","Pužmanová, Rita",""
"674","ISBN 80-251-0139-8","Širokopásmový Internet : přístupové a domácí sítě","377","2004","Brno","Computer Press","1","1","1","Pužmanová, Rita",""
"676","ISBN 1-55860-653-X","Business modeling and data mining","693","2003","Amsterdam","Morgan Kaufmann","","1","2","Pyle, Dorian",""
"678","ISBN 0-596-00205-X","Perl & XML","202","2002","Sebastopol, California","O\'Reilly","","1","2","Ray, Erik T. -- McIntosh, Jason",""
"685","ISBN 0-13-488172-9","The Art of Electronic Publishing : The Internet and Beyond","17","1997","Upper Saddle River","Prentice Hall","","1","2","Ressler, Sandy",""
"691","ISBN 80-7226-134-7","Microsoft Access : Návrh a programování databází","20","1999","Praha","Computer Press","1","1","1","Roman, Steven",""
"692","ISBN 80-7226-273-4","Programujeme makra ve Wordu","20","2000","Praha","Computer Press","1","1","1","Roman, Steven",""
"693","ISBN 80-7226-218-1","Řízení projektů : příprava a plánování, zahájení, výběr lidí a jejich řízení, kontrola a změny, vyhodnocení a ukončení","344","2000","Praha","Computer Press","1","1","1","Rosenau, Milton D.","Business books"
"698","ISBN 978-80-251-1551-0","Microsoft Windows Vista jednoduše","126","2007","Brno","Computer Press","1","1","1","Roubal, Pavel","Jednoduše"
"701","ISBN 80-86686-53-1","Alchymie internetového úspěchu","156","2005","Kralice na Hané","Computer Media","1","1","1","Ruibar, Richard",""
"702","ISBN 0-201-30998-X","The Unified Modeling Language Reference Manual","17","1999","Reading","Addison Wesley Longman","1","1","2","Rumbaugh, James -- Jacobson, Ivar",""
"703","ISBN 0-07-054365-8","Selling: Principles and Practices","18","1988","New Yokr","Mc-Graw-Hill","","1","2","Russel, Frederick A. -- Beach, Frank H.","Mc-Graw-Hill series in marketing"
"704","ISBN 80-85615-42-8","LATEX pro začátečníky","169","1995","Brno","Konvoj","1","1","1","Rybička, Jiří",""
"707","ISBN 80-86119-13-0","Analýza a návrh informačních systémů","403","1999","Praha","Ekopress","1","1","1","Řepa, Václav",""
"708","ISBN 80-247-1281-4","Podnikové procesy : procesní řízení a modelování","265","2006","Praha","Grada","1","1","1","Řepa, Václav","Management v informační společnosti"
"709","ISBN 978-80-247-2252-8","Podnikové procesy : procesní řízení a modelování","281","2007","Praha","Grada","2","1","1","Řepa, Václav","Management v informační společnosti"
"714","ISBN 0-07-054554-5","Secure UNIX","14","1997","New York","McGraw-Hill","","1","2","Samalin, Samuel",""
"716","ISBN 0-07-054878-1","Microeconomics : A Version of Economics","658","1989","New York","McGraw-Hill","1","1","2","Samuelson, Paul A. -- Nordhaus, William D.",""
"718","ISBN 80-902230-0-1","Linux - Internet server","413","1996","Praha","Neokortex","","1","1","Satrapa, Pavel -- Randus, Jiří A.",""
"719","ISBN 80-86330-03-6","Pascal pro zelenáče","253","2001","Praha","Neocortex","3","1","1","Satrapa, Pavel",""
"721","ISBN 80-902230-1-X","Web Design","414","1997","b.m.","Neokortex","","1","1","Satrapa, Pavel",""
"722","","World-Wide Web pro čtenáře, autory a misionáře","317","1996","b.m.","Neokortex","","1","1","Satrapa, Pavel",""
